"id","n_features","file_bytes"
"12817",22,34742
"12821",22,31942
"12822",22,31387
"12823",22,31890
"12824",21,33306
"12825",21,33915
"12826",21,33312
"12851",21,10313
"12852",21,10903
"12853",21,9566
"12854",21,9394
"12855",21,9085
"12856",21,9909
"12857",21,8775
"12858",21,9127
"12860",21,7514
"12861",21,8643
"12862",21,9135
"12863",21,9051
"12864",21,9098
"12865",21,9287
"12866",21,8754
"12867",21,8358
"12868",21,8384
"12870",21,7381
"12871",21,7305
"12872",21,7988
"12877",21,10125
"12878",21,8770
"12879",21,9422
"12880",21,9103
"12881",21,8146
"12882",21,8617
"12883",21,8321
"12884",21,9622
"12885",21,9047
"12886",21,9604
"12887",21,10149
"12888",21,11282
"13034",21,32519
"13035",21,32511
"13036",21,31174
"13038",21,29971
"13039",21,29902
"13041",21,29502
"13042",21,28947
"13043",21,29861
"13044",21,32613
"13045",21,32732
"13069",21,9945
"13070",21,9375
"13071",21,9528
"13072",21,9265
"13073",21,7720
"13074",21,9265
"13075",21,10262
"13076",21,8896
"13079",21,8611
"13080",21,9248
"13081",21,9124
"13082",21,8336
"13083",21,9060
"13084",21,9029
"13085",21,9086
"13086",21,7906
"13087",21,8095
"13088",21,7381
"13089",21,7490
"13090",21,8040
"13095",21,8977
"13096",21,9390
"13097",21,9065
"13098",21,9549
"13099",21,9397
"13100",20,7886
"13101",21,9023
"13102",21,8708
"13103",21,9106
"13104",21,10146
"13105",21,10057
"13252",21,32081
"13253",21,31508
"13254",21,31067
"13255",21,29618
"13256",21,29138
"13257",21,28860
"13258",21,29256
"13259",21,29688
"13260",21,28595
"13261",21,32896
"13262",21,32620
"13263",21,30787
"13288",21,10518
"13289",21,9184
"13290",21,8763
"13291",21,7807
"13292",21,11140
"13293",21,10803
"13294",21,9651
"13298",21,10562
"13300",21,9085
"13303",21,9284
"13304",20,8153
"13305",21,7664
"13307",21,7443
"13308",21,8040
"13314",21,9831
"13315",21,10094
"13316",21,8933
"13317",21,8664
"13318",21,9081
"13319",21,9410
"13320",21,8971
"13321",21,9027
"13322",21,9397
"13323",21,8938
"13324",21,9986
"13471",21,33346
"13472",21,32105
"13473",21,31251
"13474",21,30333
"13475",21,29159
"13476",21,28170
"13477",21,28860
"13478",21,27430
"13479",21,26604
"13507",21,10086
"13508",21,7852
"13509",21,9041
"13510",21,8972
"13511",21,10101
"13512",21,11039
"13513",21,13463
"13518",21,10777
"13523",21,8980
"13524",21,7915
"13525",21,8033
"13526",21,8222
"13533",21,9864
"13534",21,9631
"13535",21,8894
"13536",21,8682
"13537",21,9020
"13538",21,9306
"13539",21,9653
"13540",21,9192
"13541",21,8983
"13542",21,8851
"13543",21,11178
"13690",21,30859
"13691",21,29917
"13692",21,28972
"13693",21,30471
"13694",21,29800
"13695",21,27773
"13696",21,26799
"13697",21,25401
"13698",21,24440
"13725",21,10520
"13726",21,7858
"13727",21,8993
"13728",21,9518
"13729",21,8931
"13730",21,10999
"13741",21,9863
"13742",21,8107
"13743",21,7854
"13744",21,9862
"13751",21,10415
"13752",21,10021
"13753",21,9174
"13754",21,8848
"13755",21,9605
"13756",21,9566
"13757",21,9931
"13758",21,9426
"13759",21,8962
"13760",21,8556
"13761",21,9209
